2026-07-28 02:16:02 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=%27+WAITFOR+DELAY+%2700%3A00%3A05%27--+- HTTP/1.1" 200 None
2026-07-28 02:16:02 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 200 None
2026-07-28 02:16:02 [INFO] SeaScanner: Scanner SQLiScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: unknown
2026-07-28 02:16:02 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=%3Cscript%3Ealert%281%29%3C%2Fscript%3E HTTP/1.1" 200 None
2026-07-28 02:16:02 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=%3Cimg+src%3Dx+onerror%3Dalert%281%29%3E HTTP/1.1" 200 None
2026-07-28 02:16:02 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=%22+onfocus%3Dalert%281%29+%22 HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=%27+onfocus%3Dalert%281%29+%27 HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=%27%3Balert%281%29%3B%2F%2F HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=%22%3Balert%281%29%3B%2F%2F HTTP/1.1" 200 None
2026-07-28 02:16:03 [INFO] SeaScanner: Scanner XSSScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: pass
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 200 None
2026-07-28 02:16:03 [INFO] SeaScanner: Scanner CookiesScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: pass
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "OPTIONS /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 204 0
2026-07-28 02:16:03 [INFO] SeaScanner: Scanner CORSScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: fail
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 200 None
2026-07-28 02:16:03 [INFO] SeaScanner: Scanner CSRFScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: warning
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=..%2F..%2F..%2Fetc%2Fpasswd HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=..%2F..%2F..%2Fboot.ini HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=..%5C..%5C..%5C..%5Cwindows%5Cwin.ini HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=..%2F..%2F..%2Fetc%2Fpasswd%2500 HTTP/1.1" 200 None
2026-07-28 02:16:03 [INFO] SeaScanner: Scanner LFIScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: pass
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=http%3A%2F%2F169.254.169.254%2Flatest%2Fmeta-data%2F HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=http%3A%2F%2Flocalhost%3A8080%2F HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=http%3A%2F%2F127.0.0.1%2F HTTP/1.1" 200 None
2026-07-28 02:16:03 [INFO] SeaScanner: Scanner SSRFScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: pass
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 200 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "POST /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 405 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "PUT /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 405 None
2026-07-28 02:16:03 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "DELETE /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 405 None
2026-07-28 02:16:04 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "OPTIONS /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 204 0
2026-07-28 02:16:04 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "TRACE /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 405 40
2026-07-28 02:16:04 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "CONNECT /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 405 None
2026-07-28 02:16:04 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "PATCH /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 405 None
2026-07-28 02:16:04 [INFO] SeaScanner: Scanner HTTPMethodsScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: pass
2026-07-28 02:16:04 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=https%3A%2F%2Fevil.com HTTP/1.1" 200 None
2026-07-28 02:16:04 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=http%3A%2F%2Fattacker.com HTTP/1.1" 200 None
2026-07-28 02:16:04 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=%2F%2Fevil.com HTTP/1.1" 200 None
2026-07-28 02:16:04 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=%2F%2Fgoogle.com HTTP/1.1" 200 None
2026-07-28 02:16:04 [INFO] SeaScanner: Scanner OpenRedirectScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: pass
2026-07-28 02:16:04 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 404 107
2026-07-28 02:16:04 [INFO] SeaScanner: Scanner HostHeaderScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: pass
2026-07-28 02:16:04 [DEBUG] urllib3.connectionpool: https://digitizestore.vercel.app:443 "GET /category.html?type=Mouse%20Pads&type=Mouse+Pads HTTP/1.1" 200 None
2026-07-28 02:16:04 [INFO] SeaScanner: Scanner SourceLeaksScanner on https://digitizestore.vercel.app/category.html?type=Mouse Pads&type=Mouse+Pads: pass
2026-07-28 02:16:16 [INFO] SeaScanner: Scan completed successfully for target: https://digitizestore.vercel.app/
